key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2004gal,2004,Galileo Division,1082001600,GA,USA,NULL,2004-04-15,2004-04-17,3,8,f,NULL,Completed,142,128,77.1,55.42,43.53,35.83,17.22,0.6338,0.213,NULL,NULL,NULL,NULL
2004gl,2004,Great Lakes Regional,1078981200,MI,USA,NULL,2004-03-11,2004-03-13,0,2,f,NULL,Completed,109,109,60.87,41.24,29,26.51,12.76,0.6422,0.201,NULL,NULL,NULL,NULL
2004il,2004,Midwest Regional,1080190800,IL,USA,NULL,2004-03-25,2004-03-27,0,4,f,NULL,Completed,110,93,74.97,53.21,33.04,33.06,17.46,0.6273,0.2175,NULL,NULL,NULL,NULL
2004li,2004,SBPLI Long Island Regional,1079586000,NY,USA,NULL,2004-03-18,2004-03-20,0,3,f,NULL,Completed,105,90,69.96,38.74,23.79,30.57,13.93,0.6571,0.223,NULL,NULL,NULL,NULL
2004md,2004,Chesapeake Regional,1079586000,MD,USA,NULL,2004-03-18,2004-03-20,0,3,f,NULL,Completed,119,102,63.75,42.83,30.92,27.46,13.64,0.6134,0.2167,NULL,NULL,NULL,NULL
2004mi,2004,West Michigan Regional,1080795600,MI,USA,NULL,2004-04-01,2004-04-03,0,5,f,NULL,Completed,111,94,76.51,55.26,33.79,36.88,17.65,0.6396,0.2273,NULL,NULL,NULL,NULL
2004mo,2004,St. Louis Regional,1078981200,MO,USA,NULL,2004-03-11,2004-03-13,0,2,f,NULL,Completed,78,78,61.48,38.01,22.13,23.45,11.92,0.7308,0.1985,NULL,NULL,NULL,NULL
2004new,2004,Newton Division,1082001600,GA,USA,NULL,2004-04-15,2004-04-17,3,8,f,NULL,Completed,147,128,83.61,57.23,44.79,36.72,17.66,0.619,0.2278,NULL,NULL,NULL,NULL
2004nh,2004,BAE SYSTEMS Granite State Regional,1078376400,NH,USA,NULL,2004-03-04,2004-03-06,0,1,f,NULL,Completed,102,102,61.56,46.93,28.27,28.48,15.27,0.6471,0.1943,NULL,NULL,NULL,NULL
2004nj,2004,New Jersey Regional,1078376400,NJ,USA,NULL,2004-03-04,2004-03-06,0,1,f,NULL,Completed,94,94,53.28,40.35,25.95,27.03,12.71,0.5532,0.2258,NULL,NULL,NULL,NULL
2004ny,2004,New York City Regional,1080190800,NY,USA,NULL,2004-03-25,2004-03-27,0,4,f,NULL,Completed,91,75,74.49,31.12,13.06,23.18,16.01,0.7582,0.1604,NULL,NULL,NULL,NULL
2004oh,2004,Buckeye Regional,1080190800,OH,USA,NULL,2004-03-25,2004-03-27,0,4,f,NULL,Completed,119,105,56,47.46,30.2,26.92,15.19,0.6639,0.2061,NULL,NULL,NULL,NULL
2004on,2004,Greater Toronto Regional,1080795600,ON,Canada,NULL,2004-04-01,2004-04-03,0,5,f,NULL,Completed,173,150,66.7,43.33,27.62,22.79,13.95,0.7225,0.1952,NULL,NULL,NULL,NULL
