team,name,country,state,rookie_year,offseason,district,active,primary_color,secondary_color,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max
1104,TechnoEagles,USA,KS,2003,f,NULL,f,NULL,NULL,14,5,0,19,0.7368,14,5,0,19,0.7368,1618,NULL,1624,1630
1105,The Prep,USA,CA,2003,f,NULL,f,NULL,NULL,2,5,0,7,0.2857,2,5,0,7,0.2857,1419,NULL,1419,1419
1106,patriots,USA,ND,2003,f,NULL,f,NULL,NULL,10,9,0,19,0.5263,10,9,0,19,0.5263,1598,NULL,1530,1598
1108,Panther Robotics,USA,KS,2003,f,NULL,t,#1a1a1a,#ffe83a,212,205,6,423,0.5083,252,263,6,521,0.4894,1571,1553,1536,1670
1109,The RoboHawks,Canada,ON,2003,f,NULL,f,NULL,NULL,3,13,0,16,0.1875,3,13,0,16,0.1875,1406,NULL,1352,1406
111,WildStang,USA,IL,1996,f,NULL,t,#2c2853,#f6b028,576,213,13,802,0.7263,656,271,13,940,0.7048,1855,1816,1744,1895
1110,Binary Bulldogs,USA,CA,2003,f,NULL,f,NULL,NULL,16,27,2,45,0.3778,16,27,2,45,0.3778,1504,NULL,1441,1504
1111,Power Hawks Robotics,USA,MD,2003,f,chs,t,#9883b9,#2f4a6f,267,230,7,504,0.5367,272,250,7,529,0.5208,1614,1597,1543,1665
1112,Huskies,Canada,ON,2003,f,NULL,f,NULL,NULL,26,45,2,73,0.3699,26,45,2,73,0.3699,1439,NULL,1444,1471
1113,Urban Assault,USA,PA,2003,f,NULL,f,NULL,NULL,24,19,1,44,0.5568,24,19,1,44,0.5568,1450,NULL,1548,1610
1114,Simbotics,Canada,ON,2003,f,ont,t,#b4150b,#ffffff,870,206,8,1084,0.8063,1048,276,12,1336,0.7889,1792,1742,1874,2136
1115,Deus Ex Machina,USA,CA,2003,f,NULL,f,NULL,NULL,5,10,0,15,0.3333,5,10,0,15,0.3333,1432,NULL,1429,1432
1116,Team 1116,USA,CA,2003,f,NULL,f,NULL,NULL,1,6,0,7,0.1429,1,6,0,7,0.1429,1457,NULL,1457,1457
1118,NERDS INC.,USA,TN,2003,f,NULL,f,NULL,NULL,3,6,0,9,0.3333,3,6,0,9,0.3333,1436,NULL,1436,1436
1119,Pup Cups,USA,MA,2003,f,ne,t,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1450,1450,1450,1450
112,Plus One,USA,IL,1998,f,NULL,t,#2c2853,#f6b028,28,29,1,58,0.4914,30,34,1,65,0.4692,1600,1594,1559,1600
1120,Milpitas Xtreme Robotics,USA,CA,2003,f,NULL,f,NULL,NULL,41,33,0,74,0.5541,43,35,1,79,0.5506,1461,NULL,1501,1542
1122,Railbots,USA,OH,2003,f,NULL,f,NULL,NULL,6,8,0,14,0.4286,6,8,0,14,0.4286,1442,NULL,1418,1442
1123,AIM ⛟ Robotics,USA,VA,2003,f,chs,f,NULL,NULL,171,196,8,375,0.4667,182,210,8,400,0.465,1641,1557,1467,1641
1124,UberBots,USA,CT,2003,f,ne,f,#f8c416,#6c0010,228,210,8,446,0.5202,294,260,10,564,0.5301,1369,1395,1576,1826
1125,Broncos,USA,CA,2003,f,NULL,f,NULL,NULL,6,8,0,14,0.4286,6,8,0,14,0.4286,1455,NULL,1438,1455
1126,SPARX 1126,USA,NY,2003,f,NULL,t,#d1d400,#f2f2f2,307,201,6,514,0.6031,390,269,9,668,0.5906,1479,1479,1616,1861
1127,Lotus Robotics,USA,GA,2003,f,pch,f,NULL,NULL,73,66,6,145,0.5241,73,66,6,145,0.5241,1396,NULL,1461,1576
1129,Team 1129,Canada,QC,2003,f,NULL,f,NULL,NULL,3,5,0,8,0.375,3,5,0,8,0.375,1442,NULL,1442,1442
1130,Phantoms ,USA,OR,2003,f,NULL,f,NULL,NULL,10,24,0,34,0.2941,10,24,0,34,0.2941,1502,NULL,1474,1502
1131,Robo-Techs,USA,MD,2003,f,NULL,f,NULL,NULL,3,11,0,14,0.2143,3,11,0,14,0.2143,1397,NULL,1441,1485
1132,R.A.P.T.A.R. (Robotics Adventure Professionals of Tidewater and Richmond),USA,VA,2003,f,NULL,f,NULL,NULL,7,15,1,23,0.3261,7,15,1,23,0.3261,1429,NULL,1461,1550
1133,The Hug A Bots,USA,NV,2003,f,NULL,f,NULL,NULL,7,9,1,17,0.4412,7,9,1,17,0.4412,1460,NULL,1463,1466
1135,Schmoebotics,USA,CA,2003,f,NULL,f,NULL,NULL,13,14,3,30,0.4833,13,14,3,30,0.4833,1366,NULL,1449,1489
