team,name,state,country,district,active,elo,elo_recent,elo_mean,elo_max,wins,losses,ties,count,winrate
323,Lights Out,AR,USA,None,1,1580.2136,1621.33,1621.33,1642.72,36,22,0,58,0.6207
324,Chips,TX,USA,fit,1,1595.48,1595.48,1595.48,1595.48,10,7,0,17,0.5882
325,Respawn Robotics,OH,USA,None,1,1418.31,1418.31,1418.31,1418.31,2,7,0,9,0.2222
326,Teamsuperpowermaticultramegasuperlativeawesometasticdelcioushowlingunieagles,MI,USA,fim,0,NULL,NULL,1595.89,1705.87,194,184,7,385,0.513
329,Mohawks,NY,USA,None,1,1581.67,1610.87,1590.6,1679.12,287,227,11,525,0.5571
330,The Beach Bots,CA,USA,None,1,1779.0536000000002,1818.99,1811.56,2070.03,560,165,14,739,0.7673
331,The Bulldogs,NY,USA,None,0,NULL,NULL,1435.46,1467.61,21,32,1,54,0.3981
333,MEGALODONS,NY,USA,None,1,1602.7712000000001,1660.84,1485.67,1704.86,169,174,11,354,0.4929
334,TechKnights,NY,USA,None,1,1561.2736,1595.55,1496.61,1678.38,140,142,6,288,0.4965
335,Skillz Tech Gear Botz,NY,USA,None,1,1401.036,1394.89,1489.34,1578.9,100,119,13,232,0.4591
337,Hard Working Hard Hats,WV,USA,None,1,1543.6904,1572.09,1589.35,1694.72,285,260,12,557,0.5224
339,Kilroy Robotics,VA,USA,chs,1,1604.81,1584.55,1571.49,1651.73,240,204,15,459,0.5392
340,G.R.R. (Greater Rochester Robotics),NY,USA,None,1,1750.41,1775.11,1661.53,1879.07,356,208,7,571,0.6296
341,Miss Daisy,PA,USA,fma,1,1567.27,1660.74,1691.49,1978.8,554,354,16,924,0.6082
342,Burning Magnetos,SC,USA,None,1,1615.68,1631.98,1570.13,1684.26,246,223,7,476,0.5242
343,Metal-In-Motion,SC,USA,None,1,1590.59,1598.48,1642.13,1738.07,375,222,13,610,0.6254
345,NORSTAR,VA,USA,None,0,NULL,NULL,1467.08,1522.22,23,32,2,57,0.4211
346,RoboHawks,VA,USA,chs,1,1652.04,1720.49,1576.36,1821.06,304,206,16,526,0.5932
348,Norwell Robotics,MA,USA,ne,1,1541.11,1635.66,1617.78,1728.4,302,271,12,585,0.5265
350,Timberlane Robotics,NH,USA,None,0,NULL,NULL,1417.82,1443.24,16,23,4,43,0.4186
352,The Green Machine,NY,USA,None,1,1371.9304,1359.89,1423.93,1507.08,68,115,5,188,0.375
353,POBots,NY,USA,None,1,1523.6504,1561.05,1544.22,1620.79,184,177,5,366,0.5096
354,G-House Pirates,NY,USA,None,1,1566.9656,1568.74,1549.13,1627.14,157,133,7,297,0.5404
356,Enigma,AR,USA,None,0,NULL,NULL,1566.89,1640.27,29,24,0,53,0.5472
357,Royal Assault,PA,USA,fma,0,NULL,NULL,1568.08,1717.23,219,240,6,465,0.4774
358,Robotic Eagles,NY,USA,None,1,1591.3648,1610,1662.59,1836,355,234,5,594,0.6019
359,Hawaiian Kids,HI,USA,None,1,1687.15,1756.56,1721.84,1954.25,628,228,7,863,0.7317
360,The Revolution,WA,USA,pnw,1,1605.77,1666.42,1604.79,1724.32,328,250,17,595,0.5655
362,The Muses,CA,USA,None,0,NULL,NULL,1412.59,1488.26,50,97,3,150,0.3433
364,Team Fusion,MS,USA,None,1,1626.29,1708.78,1671.58,1881.32,304,157,9,470,0.6564
365,Miracle Workerz,DE,USA,fma,1,1802.92,1799.42,1744.15,1902.49,557,321,13,891,0.6324
367,Team 367,DE,USA,None,0,NULL,NULL,1594.36,1594.36,6,4,0,10,0.6
368,Team Kika Mana,HI,USA,None,1,1697.4184,1714.63,1703.22,1795.92,388,187,3,578,0.6739
369,High Voltage Robotics,NY,USA,None,0,NULL,1587.3,1512.68,1620.89,161,156,12,329,0.5076
371,Cyber Warriors,NY,USA,None,0,NULL,1393.19,1442.98,1531.25,78,133,8,219,0.3744
372,RoboKnights,WA,USA,None,0,NULL,NULL,1449.35,1499.47,20,28,3,51,0.4216
373,Falcons ,NY,USA,None,0,NULL,NULL,1399.91,1418.38,6,13,1,20,0.325
374,The IceBreakers,AK,USA,None,0,NULL,NULL,1409.9,1498.83,16,22,0,38,0.4211
375,Robotic Plague,NY,USA,None,0,NULL,NULL,1638.38,1778.49,268,172,5,445,0.6079
376,Team 376,CA,USA,None,0,NULL,NULL,1555.71,1603.38,25,19,2,46,0.5652
378,The Circuit Stompers,NY,USA,None,1,1563.2504,1584.11,1626.8,1705.92,268,223,6,497,0.5453
